city_name,city_pop,land_area,revised_area,parkland_area,designed_park_area,natural_park_area,parkland_percent,percent_designed_parks,percent_natural_parks,pop_density,parkland_per_1k_pop,park_units,park_units_per_10k_pop,percent_half_mile_walk
"Lexington/Fayette, KY",325520,181536,180899,4424,2438,1986,0.024455635,55,255,1.8,13.59056279,103,3.1641681,0.53631
"Lincoln, NE",291693,57033,53666,3823,3212,611,0.07123691,281,9,5.44,13.10624526,145,4.970979763,0.91572
"Long Beach, CA",478249,32188,31066,3125,2438,687,0.100592287,207,81,15.39,6.534253077,169,3.533724064,0.83602
"Los Angeles, CA",3992763,299949,295015,37028,10745,26283,0.125512262,5,8,13.53,9.273778584,566,1.417564729,0.61715
"Louisville, KY",377998,237115,216524,17750,6472,11278,0.081977056,24,6,1.75,27.93986397,129,3.412716469,0.38211
"Lubbock, TX",263923,78343,76929,2228,1877,351,0.02896177,141,14,3.43,8.441856147,81,3.069076966,0.55863
"Madison, WI",262418,49145,47519,6718,4177,2541,0.141375029,36,35,5.52,25.60037802,286,10.89864262,0.94849
"Memphis, TN",655061,201635,196098,9194,3133,2861,0.046884721,20,9,3.34,9.150292873,204,3.114213791,0.45845
"Mesa, AZ",511334,87330,83578,3396,2387,1009,0.040632702,94,523,6.12,6.641451576,224,4.38069833,0.65795
"Miami, FL",458376,22957,22949,1500,1184,316,0.065362325,303,1675,19.97,3.27242264,153,3.337871093,0.87055
"Milwaukee, WI",585612,61518,59126,5535,3186,2349,0.093613639,286,361,9.9,9.451650581,245,4.183657439,0.904
"Minneapolis, MN",421339,34543,33958,5075,4539,536,0.14944932,52,0,12.41,12.04493294,180,4.272094442,0.98141
"Nashville/Davidson, TN",693994,304080,318562,33578,15823,17755,0.105404913,60,1,2.18,48.38370361,300,4.322803944,0.43159
"New Orleans, LA",386105,108431,107655,27775,2652,25123,0.258000093,3,59,3.59,71.93639036,240,6.21592572,0.79952
"New York, NY",8627852,193692,187946,40190,20208,19982,0.213838017,4,7,45.91,4.658169843,4289,4.971109843,0.98976
"Newark, NJ",284134,15480,14054,844,844,0,0.060054077,52,1130,20.22,2.970429445,96,3.378687521,0.93687
"Norfolk, VA",249865,34637,33186,1781,1553,228,0.053667209,54,329,7.53,7.127849038,167,6.683609149,0.75349
"North Las Vegas, NV",248433,64861,63941,16731,441,16290,0.261663096,54,3,3.89,67.34612551,34,1.368578248,0.63556
"Oakland, CA",416712,35703,33181,3867,965,2902,0.1165426,113,203,12.56,9.279790359,166,3.983566588,0.88573
"Oklahoma City, OK",671100,132805,382600,18526,8990,9536,0.048421328,15,208,1.75,27.60542393,176,2.622559976,0.37622
"Omaha, NE",483455,81337,78087,10232,4371,5861,0.131033335,30,27,6.19,21.1643276,253,5.233165445,0.81494
"Orlando, FL",294265,65533,54494,3386,2869,517,0.062135281,276,67,5.4,11.50663518,124,4.213888842,0.6376
"Philadelphia, PA",1598385,85825,82913,10889,3051,7838,0.131330431,9,100,19.28,6.812501369,414,2.590114397,0.947
"Phoenix, AZ",1628096,330690,327729,47917,9334,38583,0.146209216,5,20,4.97,29.43131118,233,1.431119541,0.48823
"Pittsburgh, PA",308882,35435,35349,3683,957,2726,0.104189652,103,72,8.74,11.92364722,161,5.212346462,0.92042
"Plano, TX",302806,45812,45812,4718,2435,2283,0.102986117,45,57,6.61,15.58093301,85,2.807077799,0.75267
"Portland, OR",657424,85393,81625,14656,3779,10877,0.179552833,5,18,8.05,22.29307114,336,5.11085692,0.89641
"Raleigh, NC",471317,91458,91399,11865,2133,9732,0.129815425,7,176,5.16,25.1741397,170,3.606914242,0.58109
"Reno, NV",260427,65926,63001,3451,793,2658,0.054776908,84,887,4.13,13.25131419,97,3.724652206,0.75767
"Riverside, CA",323406,51930,51568,3528,833,2695,0.068414521,344,48,6.27,10.90888852,67,2.07169935,0.51286
"Sacramento, CA",506514,62666,61972,5487,2900,2587,0.088539986,160,275,8.17,10.83286938,224,4.422385166,0.83011
"San Antonio, TX",1465079,294997,292298,33018,12124,20894,0.112960061,10,1,5.01,22.53666867,359,2.450379809,0.42982
"San Diego, CA",1399844,208120,205918,39385,8779,30606,0.191265455,5,77,6.8,28.13527793,459,3.278936796,0.80532
"San Francisco, CA",884353,29999,29980,6227.6,3143,1688,0.20772515,10,54,29.5,5.462750734,261,2.951310167,0.99851
"San Jose, CA",1032435,112977,111953,17192,2095,15097,0.153564442,6,1,9.22,16.65189576,219,2.121198913,0.8246
"Santa Ana, CA",340599,17453,17453,736,479,257,0.042170401,548,430,19.52,2.160898887,48,1.409281883,0.75199
"Scottsdale, AZ",251227,117709,117089,31474,974,30500,0.268804072,11,13,2.15,125.2811203,42,1.671794831,0.40078
"Seattle, WA",721685,53723,52765,6619,4031,2588,0.125443002,27,0,13.68,9.171591484,507,7.025225687,0.96476
"St. Louis, MO",310144,39622,39090,3749,3597,152,0.095906882,56,73,7.93,12.08793335,113,3.64346884,0.97811
"St. Paul, MN",304624,33266,32363,4939,1772,3167,0.152612551,23,27,9.41,16.21343033,189,6.204369977,0.989
"St. Petersburg, FL",263815,39515,39375,6154,2081,4073,0.156292063,41,23,6.7,23.3269526,207,7.84640752,0.75337
"Stockton, CA",313110,39469,38918,1157,1129,28,0.029729174,161,438,8.05,3.695186995,67,2.139823065,0.73664
"Tampa, FL",386341,72582,70089,5265,2541,2724,0.075118778,60,428,5.51,13.62785726,194,5.02147067,0.62755
"Toledo, OH",277467,51643,51169,3175,1858,1317,0.062049288,113,143,5.42,11.44280221,139,5.009604746,0.81163
"Tucson, AZ",551988,145094,147504,4569,3176,1393,0.030975494,127,44,3.74,8.277353856,162,2.93484641,0.62858
"Tulsa, OK",411490,125923,123993,8645,3581,5064,0.069721678,57,6,3.32,21.00901601,139,3.377967873,0.60034
"Virginia Beach, VA",457832,159370,159341,28312,5785,22527,0.177681827,11,0,2.87,61.83927729,301,6.574463996,0.67508
"Washington, DC",702321,39071,38955,9478,4940,4538,0.243306379,40,0,18.03,13.49525359,378,5.382154314,0.9827
"Wichita, KS",400193,101949,98973,5002,2991,2011,0.050539036,0,0,4.04,12.49896925,144,3.598263838,0.53611
"Winston-Salem, NC",248839,84767,83917,4263,3752,511,0.050800195,0,0,2.97,17.13155896,83,3.335490016,0.37079
